period_id_3d,start_date,high_total,low_total,middle_total,total_sum,high_p,middle_p,low_p
0,2022-10-14,169.0,158.0,210.0,537.0,0.3147113594040968,0.3910614525139664,0.2942271880819367
1,2022-10-21,3.0,8.0,11.0,22.0,0.1363636363636363,0.5,0.3636363636363636
2,2022-10-28,25.0,34.0,29.0,88.0,0.2840909090909091,0.3295454545454545,0.3863636363636363
3,2022-11-04,33.0,24.0,58.0,115.0,0.2869565217391304,0.5043478260869565,0.208695652173913
4,2022-11-11,5.0,3.0,16.0,24.0,0.2083333333333333,0.6666666666666666,0.125
5,2022-11-20,4.0,4.0,10.0,18.0,0.2222222222222222,0.5555555555555556,0.2222222222222222
6,2022-11-25,781.0,626.0,1097.0,2504.0,0.3119009584664536,0.4380990415335463,0.25
7,2022-12-02,474.0,394.0,702.0,1570.0,0.3019108280254777,0.4471337579617834,0.2509554140127388
8,2022-12-09,80.0,102.0,204.0,386.0,0.2072538860103626,0.5284974093264249,0.2642487046632124
9,2022-12-16,157.0,196.0,406.0,759.0,0.2068511198945981,0.5349143610013175,0.2582345191040843
10,2022-12-23,163.0,176.0,514.0,853.0,0.1910902696365768,0.6025791324736225,0.2063305978898007
11,2022-12-30,137.0,144.0,362.0,643.0,0.2130637636080871,0.5629860031104199,0.223950233281493
12,2023-01-06,92.0,114.0,287.0,493.0,0.1866125760649087,0.5821501014198783,0.2312373225152129
13,2023-01-13,72.0,83.0,196.0,351.0,0.2051282051282051,0.5584045584045584,0.2364672364672364
