period_id_3d,start_date,yes_total,no_total,total_sum,risk_p,norisk_p
0,2022-10-14,350.0,2.0,352.0,0.9943181818181818,0.005681818181818182
1,2022-10-21,13.0,0.0,13.0,1.0,0.0
2,2022-10-28,21.0,18.0,39.0,0.5384615384615384,0.46153846153846156
3,2022-11-04,33.0,1.0,34.0,0.9705882352941176,0.029411764705882353
4,2022-11-11,28.0,2.0,30.0,0.9333333333333333,0.06666666666666667
5,2022-11-18,9.0,3.0,12.0,0.75,0.25
6,2022-11-25,449.0,197.0,646.0,0.695046439628483,0.30495356037151705
7,2022-12-02,247.0,29.0,276.0,0.894927536231884,0.10507246376811594
8,2022-12-09,51.0,21.0,72.0,0.7083333333333334,0.2916666666666667
9,2022-12-16,113.0,72.0,185.0,0.6108108108108108,0.3891891891891892
10,2022-12-23,188.0,4.0,192.0,0.9791666666666666,0.020833333333333332
11,2022-12-30,161.0,2.0,163.0,0.9877300613496932,0.012269938650306749
12,2023-01-06,191.0,4.0,195.0,0.9794871794871794,0.020512820512820513
13,2023-01-13,89.0,2.0,91.0,0.978021978021978,0.02197802197802198
